Date,ISIN,Maturity Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Volume awarded,182-day Volume awarded,364-day Volume awarded,91-day Tenders per tenor,182-day Tenders per tenor,364-day Tenders per Tenor,91-day Total offers,182-day Total Offers,364-day Total offers,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2019-01-07,PIBL0618J194,2019-04-10,37.38489871086556,5.411,0,6.424,0,6.641,2720,6000,8000,4344.0,9166.0,15849.0,6000.0,6000.0,8000.0,0.724,1.5276666666666667,1.981125
2019-01-14,PIBL1218D090,2019-04-17,12.594458438287154,5.396,0,6.154,0,6.253,5205,6000,11200,5955.0,17260.0,43724.0,6000.0,6000.0,11200.0,0.9925,2.8766666666666665,3.9039285714285716
2019-01-21,PIBL1218D107,2019-04-24,25.72784810126582,5.418,0,5.914,0,5.969,2347,6000,8000,3160.0,12037.0,36207.0,6000.0,6000.0,8000.0,0.5266666666666666,2.0061666666666667,4.525875
2019-01-28,PIBL0618J201,2019-04-30,24.28104012398829,5.534,0,5.892,0,5.946,4397,6000,8000,5807.0,11699.0,19747.0,6000.0,6000.0,8000.0,0.9678333333333333,1.9498333333333333,2.468375
2019-02-04,PIBL0618K218,2019-05-08,0,5.484,0,5.867,0,5.924,6000,6000,8000,11331.0,11429.0,10897.0,6000.0,6000.0,8000.0,1.8885,1.9048333333333334,1.362125
2019-02-11,PIBL1218E132,2019-05-15,0,5.55,0,5.933,0,5.9830000000000005,6000,6000,8000,7344.0,11569.0,11403.0,6000.0,6000.0,8000.0,1.224,1.9281666666666666,1.425375
2019-02-18,PIBL1218E142,2019-05-22,26.833333333333332,5.733,0,5.978,34.55642121135964,6.052,4390,6000,5208,7030.0,13874.0,7958.0,6000.0,6000.0,8000.0,1.1716666666666666,2.312333333333333,0.99475
2019-03-04,PIBL1218F169,2019-06-05,100,,34.35,5.975,100,,0,3939,0,8893.0,11569.0,11340.0,6000.0,6000.0,8000.0,1.4821666666666666,1.9281666666666666,1.4175
2019-03-11,PIBL1218F178,2019-06-11,0,5.716,0,5.936,0,6.018,6000,6000,8000,6745.0,11945.0,13081.0,6000.0,6000.0,8000.0,1.1241666666666668,1.9908333333333332,1.635125
2019-03-18,PIBL1218F188,2019-06-19,43.56666666666666,5.7860000000000005,17.333333333333336,5.987,36.3,6.051,3386,4960,5096,6686.0,9480.0,8766.0,6000.0,6000.0,8000.0,1.1143333333333334,1.58,1.09575
2019-03-25,PIBL1218F196,2019-06-26,42.41666666666667,5.787,42.41666666666667,5.9270000000000005,0,6.0440000000000005,3455,3455,8000,6605.0,6605.0,12818.0,6000.0,6000.0,8000.0,1.1008333333333333,1.1008333333333333,1.60225
2019-04-01,PIBL1218G202,2019-07-03,0,5.635,0,5.958,0,5.961,4000,5000,6000,8808.0,6772.0,10160.0,4000.0,5000.0,6000.0,2.202,1.3544,1.6933333333333334
2019-04-08,PIBL1218G211,2019-07-10,0,5.612,44.800000000000004,5.982,27.04987320371936,6.052,4000,2760,4315,9601.0,5340.0,5915.0,4000.0,5000.0,6000.0,2.40025,1.068,0.9858333333333333
